Treatment,Water,1/10,1/4,1/2,3/4,Only Vinegar
1.0 min (no salt),0,0,0,0,0,0
2.0 min (no salt),0,0,0,0,0,0
5.0 min (no salt),0,0,0,0,0,0
10 min (no salt),0,0,0,0,0,0
15 min (no salt),0,0,0,0,0,0
20 min (no salt),0,0,0,0,0,0
30 min (no salt),0,0,0,0,0,0
45 min (no salt),0,0,0,0,0,1
1.0 min (0.2g salt),0,0,0,0,0,0
2.0 min (0.2g salt),0,0,0,0,0,0
5.0 min (0.2g salt),0,0,0,0,0,0
10 min (0.2g salt),0,0,0,0,0,0
15 min (0.2g salt),0,0,0,0,0,0
20 min (0.2g salt),0,0,0,0,1,2
30 min (0.2g salt),0,0,0,0,0,3
45 min (0.2g salt),0,0,0,0,1,3
1.0 min (0.5g salt),0,0,0,0,0,0
2.0 min (0.5g salt),0,0,0,0,0,0
5.0 min (0.5g salt),0,0,0,0,0,0
10 min (0.5g salt),0,0,0,0,0,0
15 min (0.5g salt),0,0,0,0,0,1
20 min (0.5g salt),0,0,0,0,3,4
30 min (0.5g salt),0,0,0,0,2,6
45 min (0.5g salt),0,0,0,0,3,5
1.0 min (0.75g salt),0,0,0,0,0,0
2.0 min (0.75g salt),0,0,0,0,0,0
5.0 min (0.75g salt),0,0,0,0,0,0
10 min (0.75g salt),0,0,0,0,0,0
15 min (0.75g salt),0,0,0,0,0,0
20 min (0.75g salt),0,0,0,0,5,7
30 min (0.75g salt),0,0,0,0,5,8
45 min (0.75g salt),0,0,1,1,7,7
1.0 min (1g salt),0,0,0,0,0,0
2.0 min (1g salt),0,0,0,0,0,0
5.0 min (1g salt),0,0,0,0,0,0
10 min (1g salt),0,0,0,0,0,0
15 min (1g salt),0,0,0,0,0,1
20 min (1g salt),0,0,0,1,6,8
30 min (1g salt),0,0,0,1,7,8
45 min (1g salt),0,0,1,3,7,9
